NAMESPACE     LAST SEEN   TYPE      REASON                    OBJECT                                                           MESSAGE
kube-system   53m         Normal    Pulled                    pod/aws-node-t4cm2                                               Successfully pulled image "602401143452.dkr.ecr.us-east-1.amazonaws.com/amazon/aws-network-policy-agent:v1.4.0-eksbuild.1" in 1.897s (1.897s including waiting). Image size: 33957519 bytes.
kube-system   53m         Normal    Created                   pod/aws-node-t4cm2                                               Container created
kube-system   53m         Normal    Started                   pod/aws-node-t4cm2                                               Container started
default       53m         Normal    NodeReady                 node/<NODE-02>                                  Node <NODE-02> status is now: NodeReady
kube-system   52m         Normal    Pulling                   pod/kube-proxy-jm8ms                                             Pulling image "602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/kube-proxy:v1.35.3-eksbuild.21"
kube-system   52m         Normal    Pulling                   pod/kube-proxy-58hcl                                             Pulling image "602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/kube-proxy:v1.35.3-eksbuild.21"
kube-system   52m         Normal    NoPods                    poddisruptionbudget/coredns                                      No matching pods found
kube-system   52m         Normal    Pulling                   pod/kube-proxy-6fjd4                                             Pulling image "602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/kube-proxy:v1.35.3-eksbuild.21"
kube-system   52m         Normal    Scheduled                 pod/kube-proxy-6fjd4                                             Successfully assigned kube-system/kube-proxy-6fjd4 to <NODE-04>
kube-system   52m         Normal    Scheduled                 pod/kube-proxy-58hcl                                             Successfully assigned kube-system/kube-proxy-58hcl to <NODE-01>
kube-system   52m         Normal    SuccessfulCreate          daemonset/kube-proxy                                             Created pod: kube-proxy-9wmzl
kube-system   52m         Normal    Scheduled                 pod/kube-proxy-9wmzl                                             Successfully assigned kube-system/kube-proxy-9wmzl to <NODE-02>
kube-system   52m         Normal    Pulling                   pod/kube-proxy-9wmzl                                             Pulling image "602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/kube-proxy:v1.35.3-eksbuild.21"
kube-system   52m         Normal    SuccessfulCreate          daemonset/kube-proxy                                             Created pod: kube-proxy-58hcl
kube-system   52m         Normal    SuccessfulCreate          daemonset/kube-proxy                                             Created pod: kube-proxy-6fjd4
kube-system   52m         Normal    SuccessfulCreate          daemonset/kube-proxy                                             Created pod: kube-proxy-jm8ms
kube-system   52m         Normal    Scheduled                 pod/kube-proxy-jm8ms                                             Successfully assigned kube-system/kube-proxy-jm8ms to <NODE-03>
kube-system   52m         Normal    Started                   pod/kube-proxy-58hcl                                             Container started
kube-system   52m         Normal    Pulled                    pod/kube-proxy-58hcl                                             Successfully pulled image "602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/kube-proxy:v1.35.3-eksbuild.21" in 886ms (887ms including waiting). Image size: 31895353 bytes.
kube-system   52m         Normal    Created                   pod/kube-proxy-6fjd4                                             Container created
kube-system   52m         Normal    Pulled                    pod/kube-proxy-6fjd4                                             Successfully pulled image "602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/kube-proxy:v1.35.3-eksbuild.21" in 950ms (950ms including waiting). Image size: 31895353 bytes.
kube-system   52m         Normal    SuccessfulCreate          replicaset/coredns-9f58dc946                                     Created pod: coredns-9f58dc946-nxwm4
kube-system   52m         Normal    Started                   pod/kube-proxy-6fjd4                                             Container started
kube-system   52m         Normal    Scheduled                 pod/coredns-9f58dc946-h2xtv                                      Successfully assigned kube-system/coredns-9f58dc946-h2xtv to <NODE-03>
kube-system   52m         Normal    SuccessfulCreate          replicaset/coredns-9f58dc946                                     Created pod: coredns-9f58dc946-h2xtv
